"Date & Time","Usage [kW]","Generation [kW]","L1 Voltage [V]","L2 Voltage [V]","L3 Voltage [V]","CT1 Amperage [A]","CT2 Amperage [A]","CT3 Amperage [A]","Panel 4A [kW]","Panel 4A* [kVA]","Panel 4A Power Factor []","Panel 4G [kW]","PACU-1 [kW]","PACU-2 [kW]","CT4L1 [kW]","CT5L2 [kW]","CT6L3 [kW]","SOLAR [kW]"
2026-06-18 22:33:00,78.145465556,-0.007692222,276.155655339,276.194118674,276.387573128,0.894788931,3.878265740,3.300424601,-0.946072222,2.230450000,0.426494465,1.729308889,47.930550000,29.431678889,-2.320261111,-6.303530000,-0.019048889,0.007692222
2026-06-18 22:18:00,60.731566667,-0.001978889,277.107990940,277.114156496,277.255526502,0.904130043,3.917966853,3.375673494,-0.951542222,2.272193333,0.421235576,1.643975556,21.295282222,38.743851111,-2.360277778,-6.305708889,0.035176667,0.001978889
2026-06-18 22:03:00,79.504296667,-0.007806667,276.505992022,276.557528691,276.678139808,0.898923376,3.881399073,3.333784603,-0.951910000,2.244367778,0.426658909,1.748952222,47.972835556,30.734418889,-2.305768889,-6.301672222,-0.021308889,0.007806667
2026-06-18 21:48:00,54.829618889,-0.000627778,275.983331997,276.192453118,276.141779783,0.897255598,3.885845740,3.274146822,-0.949612222,2.225006667,0.429158909,1.524184444,24.404312222,29.850734444,-2.564802222,-6.539157778,-0.233308889,0.000627778
2026-06-18 21:33:00,87.014984444,-0.009541111,275.221805295,275.238847518,275.394159747,0.880396708,3.875865740,3.278652378,-0.947065556,2.212021111,0.430814465,1.624983333,48.324446667,38.012620000,-2.509644444,-6.549271111,-0.310826667,0.009541111
2026-06-18 21:18:00,51.672227778,0.001185556,275.404939748,275.397243081,275.467083084,0.890620042,3.892810185,3.234664598,-0.949998889,2.208388889,0.432705576,1.489884444,21.241141111,29.891201111,-2.600924444,-6.572901111,-0.236810000,-0.001185556
2026-06-18 21:03:00,86.496157778,-0.008102222,274.748727494,274.803627497,274.902057502,0.897901154,3.923037964,3.293225712,-0.944431111,2.230075556,0.425997798,1.912450000,48.353538889,37.174600000,-2.488973333,-7.057641111,-0.278551111,0.008102222
2026-06-18 20:48:00,68.532574444,0.040721111,276.380279794,276.434113130,276.374099794,0.889308931,9.753124908,3.332046825,-2.651342222,3.862237778,0.550990026,1.820016667,31.413958889,37.949941111,-2.555744444,-7.059224444,-0.236814444,-0.040721111
2026-06-18 20:33:00,76.574307778,0.152733333,276.403453128,276.424740907,276.368715349,0.902916710,25.383126761,3.472845721,-7.218573333,8.225867778,0.877742264,1.880783333,50.313858889,31.598238889,-2.511866667,-7.056306667,-0.266874444,-0.152733333
2026-06-18 20:18:00,73.118332222,0.153056667,277.525524293,277.526522071,277.610086519,0.897610043,25.289386757,3.514489056,-7.240221111,8.243245556,0.878560042,1.900744444,48.631288889,29.826520000,-2.510216667,-7.056267778,-0.270108889,-0.153056667
